,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Action Details,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player Full Name,,Team,Match Date,Opposition,,Action,Period,Time,,x,y,ex,ey,Dir,Video Link
Aaron Choi,,Boston Bolts U19 MLS Next,2024-11-17,Seacoast ,,Side Back,1st Half,00:00,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=562165&type=Action&PhysicalStats=
Aaron Choi,,Boston Bolts U19 MLS Next,2024-11-17,Seacoast ,,Kick Off,1st Half,00:00,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=562197&type=Action&PhysicalStats=
Daniel Woodward,,Boston Bolts U19 MLS Next,2024-11-17,Seacoast ,,Unprogr Rec,1st Half,00:06,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=562853&type=Action&PhysicalStats=
Daniel Woodward,,Boston Bolts U19 MLS Next,2024-11-17,Seacoast ,,Unsucc Forward,1st Half,00:06,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=562858&type=Action&PhysicalStats=
Daniel Woodward,,Boston Bolts U19 MLS Next,2024-11-17,Seacoast ,,Clear,1st Half,00:11,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=562823&type=Action&PhysicalStats=
Daniel Woodward,,Boston Bolts U19 MLS Next,2024-11-17,Seacoast ,,Progr Rec,1st Half,00:11,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=562839&type=Action&PhysicalStats=
Henry Wassarman,,Boston Bolts U19 MLS Next,2024-11-17,Seacoast ,,Side Back,1st Half,00:52,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=562935&type=Action&PhysicalStats=
Maxim Makar,,Boston Bolts U19 MLS Next,2024-11-17,Seacoast ,,Long,1st Half,01:04,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=562539&type=Action&PhysicalStats=
Maxim Makar,,Boston Bolts U19 MLS Next,2024-11-17,Seacoast ,,Line Break,1st Half,01:04,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=562588&type=Action&PhysicalStats=
Daniel Woodward,,Boston Bolts U19 MLS Next,2024-11-17,Seacoast ,,Loss of Poss,1st Half,01:10,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=562838&type=Action&PhysicalStats=
